otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""Associação Humanitária de Bombeiros Voluntários do Concelho de Óbidos (501289216)""","""Serviços de ambulâncias""","""575.34""",1,1,"""420,000.00""","""1,043.61""","""130.88""","""164,557.85""","""0.35%""",101,"""0.98%""",14,"""6.67%"""
"""2 Light - Healthcare Solutions, Lda. (514188987)""","""Serviços de ambulâncias""","""540.66""",1,1,"""197,340.00""","""1,078.29""","""96.20""","""164,592.53""","""0.33%""",101,"""0.98%""",14,"""6.67%"""
"""Associação Humanitária de Bombeiros Voluntários de Fátima (503677370)""","""Serviços de ambulâncias""","""410.96""",1,1,"""150,000.00""","""1,207.99""","""-33.50""","""164,722.23""","""0.25%""",101,"""0.98%""",14,"""6.67%"""
"""ASC, Ambulancias Santa Cecilia, Unip. Lda (510905099)""","""Serviços de ambulâncias""","""364.38""",1,1,"""266,365.00""","""1,254.57""","""-80.08""","""164,768.81""","""0.22%""",101,"""0.98%""",14,"""6.67%"""
"""AM - AMBULANCIAS DO MINHO, LDA (514040408)""","""Serviços de ambulâncias""","""340.23""",1,1,"""227,617.01""","""1,278.72""","""-104.23""","""164,792.96""","""0.21%""",101,"""0.98%""",14,"""6.67%"""
"""ASSOC.HUMAN.BOMB.VOL.MIRA  AIRE (501354409)""","""Serviços de ambulâncias""","""273.97""",1,1,"""100,000.00""","""1,344.98""","""-170.49""","""164,859.22""","""0.17%""",101,"""0.98%""",14,"""6.67%"""
"""Associação Humanitária Bombeiros Voluntários Torrejanos (501094717)""","""Serviços de ambulâncias""","""273.22""",1,1,"""100,000.00""","""1,345.73""","""-171.24""","""164,859.97""","""0.17%""",101,"""0.98%""",14,"""6.67%"""
"""Iberdrola Clientes Portugal, Unipessoal, Lda. (502124083)""","""Electricidade""","""285,106.34""",66,32,"""78,796,649.17""","""-280,390.56""","""285,215.85""","""356,239.42""","""44.45%""",70,"""48.53%""",4,"""88.89%"""
"""EDP, SA (503504564)""","""Electricidade""","""128,742.38""",32,23,"""25,762,846.44""","""-124,026.60""","""128,851.89""","""512,603.38""","""20.07%""",104,"""23.53%""",13,"""63.89%"""
"""Endesa Energia, S.A. – Sucursal Portugal (980245974)""","""Electricidade""","""110,827.84""",17,13,"""40,501,949.12""","""-106,112.06""","""110,937.35""","""530,517.92""","""17.28%""",119,"""12.50%""",23,"""36.11%"""
"""PETROGAL, S.A. (500697370)""","""Electricidade""","""52,043.56""",8,6,"""13,926,898.58""","""-47,327.78""","""52,153.07""","""589,302.20""","""8.11%""",128,"""5.88%""",30,"""16.67%"""
"""Galp Power (504723456)""","""Electricidade""","""41,349.10""",11,9,"""12,578,582.66""","""-36,633.32""","""41,458.61""","""599,996.66""","""6.45%""",125,"""8.09%""",27,"""25.00%"""
"""EDP - Energias de Portugal, SA (500697256)""","""Electricidade""","""22,293.63""",1,1,"""1,337,617.89""","""-17,577.85""","""22,403.14""","""619,052.13""","""3.48%""",135,"""0.74%""",35,"""2.78%"""
"""PH Energia (513239731)""","""Electricidade""","""982.91""",1,1,"""358,760.71""","""3,732.87""","""1,092.42""","""640,362.85""","""0.15%""",135,"""0.74%""",35,"""2.78%"""
"""PETROGAL, S.A. (500697370)""","""Gás natural""","""780,788.65""",70,29,"""53,995,321.63""","""-773,343.09""","""794,952.61""","""75,450.92""","""91.19%""",45,"""60.87%""",3,"""90.62%"""
"""Galp Power (504723456)""","""Gás natural""","""39,042.47""",31,14,"""13,440,122.86""","""-31,596.91""","""53,206.43""","""817,197.10""","""4.56%""",84,"""26.96%""",18,"""43.75%"""
"""GOLD ENERGY - COMERCIALIZADORA ENERGIA SA (507857542)""","""Gás natural""","""31,583.61""",8,7,"""7,460,460.47""","""-24,138.05""","""45,747.57""","""824,655.96""","""3.69%""",107,"""6.96%""",25,"""21.88%"""
"""Galp Gás Natural, SA (503103616)""","""Gás natural""","""2,581.90""",3,2,"""811,838.77""","""4,863.66""","""16,745.86""","""853,657.67""","""0.30%""",112,"""2.61%""",30,"""6.25%"""
"""Such-Dalkia,ACE (503718289)""","""Gás natural""","""2,003.18""",2,1,"""994,224.60""","""5,442.38""","""16,167.14""","""854,236.39""","""0.23%""",113,"""1.74%""",31,"""3.12%"""
"""EDP, SA (503504564)""","""Gás natural""","""239.76""",1,1,"""87,512.08""","""7,205.80""","""14,403.72""","""855,999.81""","""0.03%""",114,"""0.87%""",31,"""3.12%"""
"""Euromex - Facility Services, Lda (502629428)""","""Serviços de limpeza""","""350,854.75""",16,8,"""18,255,988.85""","""-345,787.81""","""366,854.58""","""799,340.78""","""30.50%""",211,"""7.05%""",24,"""25.00%"""
"""SAFIRA FACILITYS SERVICES SA (504669451)""","""Serviços de limpeza""","""192,546.50""",19,3,"""28,210,585.41""","""-187,479.56""","""208,546.33""","""957,649.03""","""16.74%""",208,"""8.37%""",29,"""9.38%"""
"""SÁ LIMPA - FACILITY SERVICES, LDA (504458086)""","""Serviços de limpeza""","""182,870.70""",60,16,"""35,527,288.71""","""-177,803.76""","""198,870.53""","""967,324.83""","""15.90%""",167,"""26.43%""",16,"""50.00%"""
"""Nova Serviços. Lda (502117281)""","""Serviços de limpeza""","""111,302.30""",29,9,"""23,571,179.33""","""-106,235.36""","""127,302.13""","""1,038,893.23""","""9.68%""",198,"""12.78%""",23,"""28.12%"""
"""FERROVIAL SERVIÇOS SA (503307483)""","""Serviços de limpeza""","""56,526.72""",13,3,"""14,513,261.85""","""-51,459.78""","""72,526.55""","""1,093,668.81""","""4.91%""",214,"""5.73%""",29,"""9.38%"""
"""Iberlim-Sociedade Técnica de Limpeza, SA (503501670)""","""Serviços de limpeza""","""50,688.98""",6,3,"""14,346,457.56""","""-45,622.04""","""66,688.81""","""1,099,506.55""","""4.41%""",221,"""2.64%""",29,"""9.38%"""
"""FERLIMPA 2 (506278522)""","""Serviços de limpeza""","""50,363.96""",17,4,"""9,217,876.17""","""-45,297.02""","""66,363.79""","""1,099,831.57""","""4.38%""",210,"""7.49%""",28,"""12.50%"""
"""Clece, S.A. (513789995)""","""Serviços de limpeza""","""42,975.74""",18,5,"""9,213,913.95""","""-37,908.80""","""58,975.57""","""1,107,219.79""","""3.74%""",209,"""7.93%""",27,"""15.62%"""
"""Eulen S.A. - Sucursal em Portugal (980122538)""","""Serviços de limpeza""","""28,854.15""",8,2,"""4,856,863.30""","""-23,787.21""","""44,853.98""","""1,121,341.38""","""2.51%""",219,"""3.52%""",30,"""6.25%"""
